Name,Type,Breed,Outcome Type,Days in Shelter
MARLEY,DOG,GREAT PYRENEES,ADOPTION,23
PEANUT,DOG,PARSON RUSS TER/BEAGLE,RETURN TO OWNER,1
"BRUTUS ""BOO""",CAT,BENGAL,TRANSFER,10
SOPHIE,CAT,DOMESTIC MH,EUTHANIZE,42
TREMOR,DOG,PIT BULL,EUTHANIZE,30
PLUTO,DOG,BORDER COLLIE,RETURN TO OWNER,0
BARNEY,CAT,DOMESTIC SH,ADOPTION,3
*HILARY,OTHER,COCKATIEL,ADOPTION,31
WALLY,DOG,POODLE MIN/MIX,RETURN TO OWNER,1
LUCY,DOG,GOLDEN RETR,RETURN TO OWNER,2
YA YA,DOG,CHIHUAHUA SH,RETURN TO OWNER,1
MICKEY,DOG,PIT BULL/MIX,EUTHANIZE,9
HIGGINS,DOG,PIT BULL,RETURN TO OWNER,38
IKE,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,20
PRINCESS,DOG,PIT BULL,EUTHANIZE,58
*COMET,CAT,DOMESTIC SH,ADOPTION,7
*DAVEY,DOG,CHIHUAHUA SH,ADOPTION,28
ZITA,DOG,MAREMMA SHEEPDG,RETURN TO OWNER,2
,CAT,DOMESTIC LH,EUTHANIZE,5
,DOG,PIT BULL,EUTHANIZE,40
ROSCOE,DOG,PIT BULL/MIX,EUTHANIZE,38
,CAT,DOMESTIC LH,DIED,3
,CAT,DOMESTIC LH,RETURN TO OWNER,7
FANCY,DOG,LABRADOR RETR,ADOPTION,12
*CHAD,CAT,DOMESTIC SH,ADOPTION,18
SCRATCHY,DOG,COCKER SPAN,RETURN TO OWNER,0
,DOG,PIT BULL,RETURN TO OWNER,0
*TUX,CAT,DOMESTIC SH,TRANSFER,12
*LOKI,DOG,BEAGLE/AMERICAN STAFF,ADOPTION,43
*RAINBOW,DOG,PIT BULL/MIX,ADOPTION,10
*HERMAN,OTHER,GUINEA PIG,TRANSFER,47
TRACKER,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,3
NINA,DOG,CHIHUAHUA SH,ADOPTION,33
TRAVIESA,DOG,GERM SH POINT,ADOPTION,31
*IZZY,CAT,DOMESTIC SH,ADOPTION,22
ZENOBIA,CAT,DOMESTIC SH,ADOPTION,19
SPIKE,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,2
VALENTINE,DOG,PIT BULL/MIX,ADOPTION,37
GRIFFIN,DOG,LABRADOR RETR,ADOPTION,16
*CHILLI,CAT,DOMESTIC SH,ADOPTION,64
,CAT,DOMESTIC SH,EUTHANIZE,10
*PATSY,DOG,CHIHUAHUA SH/MIX,ADOPTION,1
LUCY,DOG,LABRADOR RETR,RETURN TO OWNER,0
NALA,DOG,GERM SHEPHERD/SIBERIAN HUSKY,RETURN TO OWNER,0
,OTHER,LOP-AMER FUZZY,DIED,3
CHANCE,DOG,FRENCH BULLDOG,RETURN TO OWNER,0
ROLLA,DOG,PIT BULL,EUTHANIZE,41
*SIMON,OTHER,GUINEA PIG,TRANSFER,11
,DOG,GERM SHEPHERD/MIX,EUTHANIZE,11
AXEL,DOG,DOBERMAN PINSCH,ADOPTION,40
,DOG,PIT BULL,EUTHANIZE,13
LOKI,DOG,BELG TERVUREN/GERM SHEPHERD,RETURN TO OWNER,2
*WILMA,CAT,DOMESTIC SH,ADOPTION,34
KAIJA,DOG,LABRADOR RETR,RETURN TO OWNER,0
VEER,DOG,AFFENPINSCHER,RETURN TO OWNER,0
DING,DOG,CHOW CHOW/GOLDEN RETR,TRANSFER,69
*MOCHA,OTHER,RABBIT SH,TRANSFER,51
,CAT,SNOWSHOE/MIX,TRANSFER,4
,CAT,DOMESTIC SH,TRANSFER,4
CHICO,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,9
BEN,CAT,MANX,ADOPTION,41
AVA GENE,DOG,POMERANIAN/MIX,ADOPTION,72
GORDY,DOG,CHIHUAHUA SH/MIX,ADOPTION,20
,OTHER,RABBIT SH,DISPOSAL,1
CB,DOG,BORDER COLLIE,ADOPTION,23
TONKA,DOG,PIT BULL/MIX,ADOPTION,28
NALA,DOG,ROTTWEILER,ADOPTION,70
LEO,DOG,CHIHUAHUA SH,ADOPTION,17
REGO,DOG,PARSON RUSS TER/AUST KELPIE,RETURN TO OWNER,0
,DOG,PIT BULL/MIX,EUTHANIZE,13
MOKI,CAT,DOMESTIC SH,RETURN TO OWNER,7
CHARLIE,DOG,BICHON FRISE/WEST HIGHLAND,RETURN TO OWNER,1
AUDI,DOG,LABRADOR RETR,RETURN TO OWNER,1
HANK,DOG,ALASKAN HUSKY/MIX,RETURN TO OWNER,0
*BUSTER,CAT,DOMESTIC SH,ADOPTION,41
*PIKACHU,DOG,GERM SHEPHERD/MIX,ADOPTION,11
CHAPO,DOG,YORKSHIRE TERR,RETURN TO OWNER,4
PINKY,DOG,TR WALKER HOUND,TRANSFER,20
,CAT,DOMESTIC SH,TRANSFER,0
,CAT,DOMESTIC SH,TRANSFER,0
CHEWY,DOG,PAPILLON/MIX,ADOPTION,11
BLUE,DOG,LABRADOR RETR,RETURN TO OWNER,0
KEONE,DOG,MALTESE/MIX,ADOPTION,30
*CANDY,CAT,DOMESTIC SH,TRANSFER,20
,OTHER,CHICKEN,ADOPTION,16
,CAT,DOMESTIC SH,EUTHANIZE,9
,CAT,DOMESTIC SH,DIED,1
ROCKIE,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,1
RAMBO,DOG,SIBERIAN HUSKY,RETURN TO OWNER,0
*GABBIE,OTHER,PARAKEET,TRANSFER,15
,DOG,PIT BULL,EUTHANIZE,23
*JAKE,DOG,CHIHUAHUA SH/SHIBA INU,ADOPTION,37
LEO,DOG,POODLE TOY,RETURN TO OWNER,0
LADY,DOG,PIT BULL/MIX,ADOPTION,17
,CAT,DOMESTIC SH,EUTHANIZE,0
TOM,CAT,DOMESTIC SH,ADOPTION,8
BRIANNA,CAT,DOMESTIC MH,RETURN TO OWNER,6
MARGIE,DOG,BORDER COLLIE,ADOPTION,11
*WILLOW,DOG,BELG MALINOIS,ADOPTION,25
,OTHER,RABBIT SH,EUTHANIZE,0
SASHA,DOG,GOLDEN RETR/POODLE STND,RETURN TO OWNER,1
COCO,DOG,LABRADOR RETR,RETURN TO OWNER,1
,DOG,PIT BULL,TRANSFER,21
MAX,DOG,PIT BULL,RETURN TO OWNER,0
CHARLES,DOG,ALASKAN HUSKY/LABRADOR RETR,EUTHANIZE,22
SPUDS,DOG,PIT BULL,EUTHANIZE,42
SIMBA,CAT,DOMESTIC SH,EUTHANIZE,26
*CASSIUS,DOG,PIT BULL,TRANSFER,22
,CAT,DOMESTIC MH,EUTHANIZE,0
,CAT,DOMESTIC SH,RETURN TO OWNER,1
*SOPHIE,CAT,DOMESTIC SH,ADOPTION,43
*MEADOW,CAT,DOMESTIC SH,ADOPTION,36
MR BO JANGLES,DOG,LABRADOR RETR,RETURN TO OWNER,1
*CARL,CAT,SNOWSHOE/MIX,ADOPTION,9
,CAT,DOMESTIC SH,TRANSFER,22
GUNNER,DOG,GERM SH POINT,RETURN TO OWNER,1
MAX,DOG,BERNESE MTN DOG/MIX,RETURN TO OWNER,0
,CAT,DOMESTIC LH,EUTHANIZE,6
SASSY,CAT,SIAMESE/MIX,ADOPTION,13
*MOLLY,CAT,DOMESTIC LH,ADOPTION,68
*JILL,DOG,CHIHUAHUA SH/MIX,ADOPTION,8
SMOKEY,CAT,DOMESTIC SH,ADOPTION,3
CLEO,CAT,DOMESTIC SH,ADOPTION,40
LILO,CAT,DOMESTIC SH,RETURN TO OWNER,1
ESTRELLITA,DOG,MALTESE/POODLE MIN,RETURN TO OWNER,0
MIRACLE,DOG,CHIHUAHUA SH,RETURN TO OWNER,0
DAISY,DOG,GERM SHEPHERD/ANATOL SHEPHERD,RETURN TO OWNER,1
BOWIE,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,1
*LIAM,CAT,DOMESTIC SH,ADOPTION,3
WILLOW,DOG,BORDER COLLIE/MIX,RETURN TO OWNER,1
ROSCOE,DOG,LABRADOR RETR/MIX,ADOPTION,30
*BETTY,CAT,DOMESTIC SH,ADOPTION,63
,DOG,GERM SHEPHERD,EUTHANIZE,52
LYNCH,DOG,LABRADOR RETR,RETURN TO OWNER,1
,OTHER,HAMSTER,TRANSFER,17
,DOG,ROTTWEILER,RETURN TO OWNER,0
MURPHY,DOG,DACHSHUND/CHIHUAHUA SH,ADOPTION,14
MICK,DOG,BORDER COLLIE/MIX,RETURN TO OWNER,0
MARLEY,DOG,COCKER SPAN,RETURN TO OWNER,0
*ROSE,CAT,DOMESTIC MH,ADOPTION,35
MAGGIE,DOG,YORKSHIRE TERR,RETURN TO OWNER,4
,CAT,DOMESTIC SH,DISPOSAL,0
COCO,DOG,PIT BULL/MIX,RETURN TO OWNER,0
,CAT,DOMESTIC SH,EUTHANIZE,21
,CAT,DOMESTIC SH,TRANSFER,14
,DOG,WEIMARANER,TRANSFER,9
,DOG,MIN PINSCHER/MIX,EUTHANIZE,12
TOASTY,DOG,PARSON RUSS TER/MIX,RETURN TO OWNER,0
*KENDALL,DOG,PIT BULL/MIX,ADOPTION,16
JUNE,CAT,DOMESTIC SH,RETURN TO OWNER,5
RASCAL,DOG,PIT BULL/MIX,EUTHANIZE,25
NICKY,DOG,YORKSHIRE TERR,RETURN TO OWNER,0
MIKA,DOG,LABRADOR RETR,EUTHANIZE,0
BONBON,CAT,DOMESTIC LH,RETURN TO OWNER,16
,DOG,GERM SHEPHERD/MIX,EUTHANIZE,28
MI-DEL,CAT,DOMESTIC SH,ADOPTION,89
*DAVE,CAT,DOMESTIC SH,ADOPTION,52
,CAT,DOMESTIC SH,TRANSFER,0
* MISS OINKERS,OTHER,PIG,TRANSFER,36
,CAT,DOMESTIC SH,RETURN TO OWNER,5
TOOT,DOG,DACHSHUND/CHIHUAHUA SH,RETURN TO OWNER,0
*LICORICE,CAT,DOMESTIC SH,ADOPTION,3
*BEAU,CAT,DOMESTIC SH,ADOPTION,32
*JUDE,CAT,DOMESTIC MH,ADOPTION,2
RICKY,DOG,PIT BULL,EUTHANIZE,51
*SCARLETT,DOG,SCHNAUZER STAND/MIX,TRANSFER,69
,CAT,DOMESTIC SH,RETURN TO OWNER,9
WHISKEY,DOG,PIT BULL,ADOPTION,20
*AMY,CAT,DOMESTIC SH,ADOPTION,49
MAUI,DOG,GERM SHEPHERD,TRANSFER,12
BRAVO,DOG,AUST CATTLE DOG,TRANSFER,16
*QUEEN ELIZABETH,OTHER,PIGEON,TRANSFER,8
JASPER,DOG,LABRADOR RETR,RETURN TO OWNER,0
,CAT,DOMESTIC SH,RETURN TO OWNER,9
BUDDY,DOG,PIT BULL/MIX,RETURN TO OWNER,0
,OTHER,CHICKEN,EUTHANIZE,0
,CAT,DOMESTIC LH,EUTHANIZE,7
LUNA,DOG,SIBERIAN HUSKY,RETURN TO OWNER,6
*SPECKLES,CAT,DOMESTIC SH,ADOPTION,59
PEARL,DOG,CHIHUAHUA SH,ADOPTION,51
,OTHER,RABBIT SH,TRANSFER,7
,OTHER,PARROT,TRANSFER,8
SMOKEY,DOG,SIBERIAN HUSKY,RETURN TO OWNER,0
TADO,CAT,DOMESTIC SH,ADOPTION,28
MAX,DOG,LABRADOR RETR,RETURN TO OWNER,0
BAILEY,DOG,AUST SHEPHERD,RETURN TO OWNER,0
,CAT,DOMESTIC SH,RETURN TO OWNER,5
NYA,CAT,DOMESTIC SH,ADOPTION,8
*MIKE,CAT,DOMESTIC SH,ADOPTION,51
*CHARLIE,CAT,DOMESTIC SH,ADOPTION,18
FRANCESCA,CAT,DOMESTIC SH,ADOPTION,5
*PETUNIA,CAT,DOMESTIC SH,ADOPTION,12
DARLA,DOG,MALTESE,RETURN TO OWNER,0
SHADOW,DOG,ALASKAN HUSKY,RETURN TO OWNER,1
CHICO,DOG,CHIHUAHUA SH,RETURN TO OWNER,3
MOCA,DOG,GERM SHEPHERD,RETURN TO OWNER,3
HEIDI,DOG,DACHSHUND,TRANSFER,10
LUCKY,DOG,PIT BULL,RETURN TO OWNER,1
*SCHMOOPIE,CAT,DOMESTIC SH,EUTHANIZE,20
,OTHER,GOOSE,ADOPTION,15
,DOG,FOX TERR SMOOTH/BEAGLE,EUTHANIZE,9
SPOCK,CAT,DOMESTIC SH,RETURN TO OWNER,3
RUTILA,DOG,MIN PINSCHER,RETURN TO OWNER,1
LEWA,DOG,LABRADOR RETR/GERM SHEPHERD,RETURN TO OWNER,0
JACQUES,DOG,ROTTWEILER/GERM SHEPHERD,ADOPTION,57
,CAT,DOMESTIC SH,RETURN TO OWNER,7
*REMY,CAT,DOMESTIC LH,TRANSFER,18
BUDDY,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,10
,DOG,CHIHUAHUA SH,TRANSFER,18
,CAT,DOMESTIC SH,EUTHANIZE,0
RYDER,DOG,GERM SHEPHERD,RETURN TO OWNER,1
GOLDIE,DOG,LABRADOR RETR,RETURN TO OWNER,1
CHRONOS,DOG,ALASKAN HUSKY,RETURN TO OWNER,0
,CAT,DOMESTIC SH,EUTHANIZE,0
SHANE,DOG,BELG MALINOIS,RETURN TO OWNER,11
*CLARK,DOG,BULLMASTIFF/MIX,TRANSFER,149
PUPPY,DOG,CHIHUAHUA SH,ADOPTION,56
*MICHAEL,CAT,DOMESTIC SH,ADOPTION,39
ARIEL,DOG,WELSH CORGI PEM,RETURN TO OWNER,2
MILO,DOG,TR WALKER HOUND/MIX,RETURN TO OWNER,1
*ATHENA,CAT,DOMESTIC SH,ADOPTION,10
HOLLY,OTHER,AMERICAN/REX,ADOPTION,22
SCOUT,DOG,CAIRN TERRIER/MIX,ADOPTION,9
MUSHROOM,CAT,SIAMESE/MIX,ADOPTION,23
CHISPA,DOG,GERM SHEPHERD,RETURN TO OWNER,3
FRASIER,DOG,POODLE MIN,RETURN TO OWNER,1
NEIL,CAT,DOMESTIC SH,ADOPTION,7
SCOUT,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,17
LUNA,DOG,LABRADOR RETR/MIX,ADOPTION,28
BUDDY,DOG,ANATOL SHEPHERD,RETURN TO OWNER,0
,CAT,DOMESTIC LH,EUTHANIZE,0
MILO,CAT,DOMESTIC SH,ADOPTION,4
DIAMOND,DOG,ROTTWEILER,RETURN TO OWNER,0
*VIOLET,DOG,PIT BULL/MIX,EUTHANIZE,27
*PIXIE,DOG,CHIHUAHUA SH/MIX,TRANSFER,11
,CAT,DOMESTIC SH,TRANSFER,0
,OTHER,CHICKEN,TRANSFER,12
*BANDIT,CAT,DOMESTIC MH,ADOPTION,2
JAKE,DOG,ALASKAN HUSKY,RETURN TO OWNER,1
*JUNEBUG,CAT,DOMESTIC MH,ADOPTION,39
,CAT,DOMESTIC SH,EUTHANIZE,8
,CAT,DOMESTIC SH,TRANSFER,0
,CAT,DOMESTIC SH,TRANSFER,13
CODY,DOG,PIT BULL/MIX,RETURN TO OWNER,0
LOVEE,DOG,PIT BULL,RETURN TO OWNER,15
BOBBY JOE,CAT,DOMESTIC SH,ADOPTION,70
SIMBA,CAT,DOMESTIC SH,TRANSFER,50
LADY,DOG,PIT BULL/MIX,RETURN TO OWNER,1
ORION,DOG,BOSTON TERRIER,ADOPTION,21
PADME,CAT,DOMESTIC SH,ADOPTION,11
,DOG,PIT BULL/MIX,EUTHANIZE,9
*CARLA,DOG,BORDER COLLIE,TRANSFER,27
MIA/MEOW MEOW,CAT,EGYPTIAN MAU/MIX,EUTHANIZE,13
,DOG,ALASKAN HUSKY,EUTHANIZE,48
CHAPARRO,DOG,CHIHUAHUA SH,ADOPTION,18
MOCHA,CAT,DOMESTIC SH,ADOPTION,37
SERENITY,DOG,PIT BULL/AMERICAN STAFF,RETURN TO OWNER,2
JAYA,DOG,PIT BULL/MIX,RETURN TO OWNER,1
,CAT,DOMESTIC SH,RETURN TO OWNER,5
,CAT,DOMESTIC SH,EUTHANIZE,0
GYDA,DOG,PARSON RUSS TER,RETURN TO OWNER,0
,DOG,ROTTWEILER/LABRADOR RETR,TRANSFER,0
,CAT,DOMESTIC SH,TRANSFER,0
GUESS,DOG,PUG/MIX,RETURN TO OWNER,3
ORANGINA,CAT,DOMESTIC SH,EUTHANIZE,1
CHULA,CAT,DOMESTIC SH,RETURN TO OWNER,7
,DOG,PIT BULL,EUTHANIZE,21
*MAC,CAT,DOMESTIC SH,ADOPTION,11
*LUNA,DOG,VIZSLA/MIX,ADOPTION,36
,CAT,DOMESTIC MH,TRANSFER,1
ABBY,DOG,LABRADOR RETR/GOLDEN RETR,RETURN TO OWNER,1
PIA,DOG,MALTESE,ADOPTION,16
*CAMILLA,DOG,PIT BULL,ADOPTION,130
,OTHER,SHEEP,TRANSFER,14
,CAT,DOMESTIC SH,TRANSFER,0
,CAT,DOMESTIC SH,TRANSFER,7
*WILLIE,CAT,DOMESTIC MH,ADOPTION,13
,CAT,DOMESTIC MH,TRANSFER,3
MILO,CAT,DOMESTIC SH,RETURN TO OWNER,0
LOUIE,DOG,POMERANIAN/PEKINGESE,ADOPTION,13
JOJO,CAT,DOMESTIC LH,ADOPTION,17
ZUES,DOG,DOBERMAN PINSCH,RETURN TO OWNER,1
HULK,DOG,PIT BULL,EUTHANIZE,12
,CAT,DOMESTIC MH,TRANSFER,19
,CAT,DOMESTIC SH,RETURN TO OWNER,10
SADIE,DOG,PIT BULL/MIX,TRANSFER,82
*JOEY,CAT,DOMESTIC MH,ADOPTION,10
,CAT,DOMESTIC SH,EUTHANIZE,8
,CAT,DOMESTIC SH,TRANSFER,22
,CAT,DOMESTIC SH,TRANSFER,0
*RAINBOW,DOG,PIT BULL/MIX,ADOPTION,16
,OTHER,OPOSSUM,TRANSFER,0
TIKI,DOG,CHIHUAHUA SH,RETURN TO OWNER,1
*JUNIOR,DOG,CHIHUAHUA SH,ADOPTION,72
*MARALYN,CAT,DOMESTIC MH,ADOPTION,12
,CAT,SIAMESE,TRANSFER,1
,CAT,DOMESTIC MH,EUTHANIZE,0
DAISY MAY,DOG,PARSON RUSS TER,RETURN TO OWNER,4
BELKIN,DOG,LABRADOR RETR,TRANSFER,35
BEEKER,DOG,GREAT PYRENEES,RETURN TO OWNER,6
COCO,DOG,ENG BULLDOG,RETURN TO OWNER,4
VIXEN,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,0
DINKY,CAT,DOMESTIC SH,ADOPTION,7
,CAT,DOMESTIC SH,TRANSFER,4
*SUGAR,CAT,DOMESTIC LH,ADOPTION,15
MAIA,DOG,AUST CATTLE DOG/MIX,RETURN TO OWNER,0
HARLEY,DOG,LABRADOR RETR,RETURN TO OWNER,2
*LICORICE,DOG,CHIHUAHUA SH/DACHSHUND,EUTHANIZE,34
BODHI,DOG,CHIHUAHUA SH,TRANSFER,16
,CAT,DOMESTIC SH,TRANSFER,10
SAMBA,CAT,DOMESTIC SH,TRANSFER,25
LUCI,CAT,DOMESTIC SH,ADOPTION,21
PRINCESS,CAT,DOMESTIC SH,ADOPTION,9
,CAT,DOMESTIC SH,RETURN TO OWNER,13
,CAT,DOMESTIC SH,TRANSFER,5
,CAT,DOMESTIC SH,TRANSFER,1
BUTTERS,DOG,WELSH CORGI PEM/BORDER COLLIE,RETURN TO OWNER,2
,CAT,DOMESTIC MH,TRANSFER,1
LUCY,DOG,AUST SHEPHERD/MIX,ADOPTION,61
*RUSTY,CAT,DOMESTIC SH,ADOPTION,10
*ALVIN,CAT,DOMESTIC SH,ADOPTION,10
SWEETIE,CAT,DOMESTIC SH,ADOPTION,77
BUBBA,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,0
CHEVY,DOG,PARSON RUSS TER,RETURN TO OWNER,0
BUDDY,DOG,PIT BULL,ADOPTION,29
AUTUMN,CAT,DOMESTIC MH,ADOPTION,3
*LOGAN,DOG,LABRADOR RETR/MIX,ADOPTION,788
MAXX,DOG,LABRADOR RETR,RETURN TO OWNER,0
DULCE,DOG,PIT BULL,EUTHANIZE,38
OPIE,DOG,ALASKAN HUSKY,RETURN TO OWNER,2
,CAT,DOMESTIC SH,EUTHANIZE,5
*RUFFLES,DOG,COCKER SPAN/MIX,ADOPTION,32
ODEN,DOG,PIT BULL,RETURN TO OWNER,10
SCOOTER,DOG,ENG TOY SPANIEL,RETURN TO OWNER,22
DENNIS STONE,DOG,PIT BULL,TRANSFER,15
VERSHONE,DOG,GERM SHEPHERD,RETURN TO OWNER,0
RARITY,DOG,POODLE MIN/MIX,RETURN TO OWNER,9
THUMPER,DOG,CHIHUAHUA SH/MIN PINSCHER,RETURN TO OWNER,1
,CAT,DOMESTIC SH,TRANSFER,10
,CAT,DOMESTIC SH,EUTHANIZE,0
,CAT,BENGAL,TRANSFER,13
*DUKE,DOG,DUTCH SHEPHERD/MIX,ADOPTION,42
LALA,DOG,DOBERMAN PINSCH,ADOPTION,12
*ANNIE,DOG,CAIRN TERRIER/MIX,TRANSFER,34
MAGIC,CAT,DOMESTIC LH,EUTHANIZE,4
LADY,DOG,LABRADOR RETR,RETURN TO OWNER,0
*NORTON,DOG,LHASA APSO/MIX,ADOPTION,19
SCOUT,DOG,GERM SHEPHERD,RETURN TO OWNER,0
FIZZY,DOG,POODLE MIN/MIX,ADOPTION,52
BLACKJACK,CAT,DOMESTIC SH,EUTHANIZE,9
*ANNIE,DOG,CHIHUAHUA SH/MIX,ADOPTION,9
BEKA,DOG,CHIHUAHUA SH,RETURN TO OWNER,3
,CAT,DOMESTIC SH,TRANSFER,12
*ANDRE,CAT,DOMESTIC SH,ADOPTION,14
*BOGIE,OTHER,RABBIT SH,TRANSFER,90
DULCE,CAT,SIAMESE/DOMESTIC SH,ADOPTION,34
DOLLY,DOG,CHINESE SHARPEI/PIT BULL,ADOPTION,184
,CAT,DOMESTIC SH,TRANSFER,0
,DOG,DACHSHUND,EUTHANIZE,7
,CAT,DOMESTIC SH,RETURN TO OWNER,5
CUPCAKE,CAT,DOMESTIC SH,RETURN TO OWNER,1
*DAISY,DOG,GERM SHEPHERD/MIX,ADOPTION,16
PIPORRO,DOG,BORDER COLLIE/MIX,RETURN TO OWNER,9
SMOKEY,CAT,RUSSIAN BLUE/MIX,RETURN TO OWNER,1
APOLLO,DOG,PIT BULL,RETURN TO OWNER,1
OTIS,DOG,GREAT PYRENEES,RETURN TO OWNER,3
,OTHER,CHICKEN,EUTHANIZE,1
,DOG,POODLE STND,RETURN TO OWNER,1
,DOG,PIT BULL,DISPOSAL,241
LOLA,CAT,DOMESTIC SH,RETURN TO OWNER,1
,CAT,SIAMESE/MIX,RETURN TO OWNER,7
BLUE,DOG,PIT BULL/MIX,RETURN TO OWNER,1
LOBO,DOG,SIBERIAN HUSKY,RETURN TO OWNER,1
DUKE,DOG,BULL TERRIER/MIX,ADOPTION,29
BELLE,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,1
*JOHN,CAT,DOMESTIC SH,ADOPTION,15
*BRUNO,DOG,PIT BULL/MIX,ADOPTION,27
CAPULIEN,DOG,GERM SHEPHERD/LABRADOR RETR,EUTHANIZE,3
OSO,DOG,POODLE MIN/MIX,RETURN TO OWNER,5
LUCY,DOG,AKITA,RETURN TO OWNER,6
,CAT,DOMESTIC SH,EUTHANIZE,0
SEQUOIA,DOG,PIT BULL/RHOD RIDGEBACK,RETURN TO OWNER,1
*BUSTER,CAT,DOMESTIC SH,ADOPTION,7
,CAT,DOMESTIC LH,RETURN TO OWNER,3
DRACO,DOG,PIT BULL,RETURN TO OWNER,0
,DOG,GERM SHEPHERD,EUTHANIZE,11
ROSCOE,DOG,ROTTWEILER/MIX,RETURN TO OWNER,1
DIEGO 2,DOG,PARSON RUSS TER/MIX,RETURN TO OWNER,0
BLACKY,DOG,BORDER COLLIE/MIX,RETURN TO OWNER,10
,DOG,DACHSHUND/MIX,TRANSFER,13
RAMBO,DOG,BELG MALINOIS,RETURN TO OWNER,3
MADDIE,DOG,LABRADOR RETR,RETURN TO OWNER,0
ROCCO,DOG,AMERICAN STAFF,RETURN TO OWNER,1
*RYE,CAT,DOMESTIC SH,ADOPTION,85
SPARTACUS,DOG,PIT BULL/MIX,RETURN TO OWNER,1
LEAH,DOG,PODENGO PEQUENO/MIX,RETURN TO OWNER,0
PEARL,DOG,AUST SHEPHERD,RETURN TO OWNER,1
BHAKTI,DOG,PIT BULL/ITAL GREYHOUND,RETURN TO OWNER,0
,CAT,DOMESTIC SH,TRANSFER,25
NINO,DOG,YORKSHIRE TERR/MIX,ADOPTION,17
MALA,DOG,SHIBA INU/MIX,RETURN TO OWNER,3
SHADOW,DOG,LABRADOR RETR/MIX,DIED,8
COSMO,DOG,WELSH CORGI CAR/MIX,RETURN TO OWNER,0
*DANTE,DOG,ITAL GREYHOUND,ADOPTION,4
,CAT,DOMESTIC SH,EUTHANIZE,0
SUGAR BEAR,DOG,AMERICAN STAFF,RETURN TO OWNER,4
*BREE,CAT,DOMESTIC MH,ADOPTION,14
,OTHER,RACCOON,EUTHANIZE,1
,CAT,BENGAL,RETURN TO OWNER,0
KILLIAN,CAT,DOMESTIC SH,ADOPTION,4
MAX,DOG,BELG MALINOIS/MIX,TRANSFER,14
RILEY,DOG,AMERICAN STAFF/PIT BULL,EUTHANIZE,9
BLACKY,DOG,ALASKAN HUSKY/MIX,RETURN TO OWNER,2
*FANCY,CAT,DOMESTIC SH,ADOPTION,6
,CAT,DOMESTIC MH,RETURN TO OWNER,4
BRUTUS,DOG,AUST CATTLE DOG,ADOPTION,29
NACHO,DOG,CHIHUAHUA SH,RETURN TO OWNER,0
INK,CAT,DOMESTIC SH,EUTHANIZE,12
*DUCKIE,DOG,GERM SHEPHERD,TRANSFER,74
,CAT,DOMESTIC SH,TRANSFER,0
,OTHER,RABBIT SH,TRANSFER,7
WILBUR,OTHER,POTBELLY PIG,ADOPTION,16
GAVIN,CAT,DOMESTIC SH,ADOPTION,57
SPARKLE,CAT,SIAMESE,RETURN TO OWNER,7
SHASTA,DOG,PIT BULL,RETURN TO OWNER,1
*RUFUS,DOG,PIT BULL/MIX,ADOPTION,29
*KING FUZZY,CAT,DOMESTIC MH,ADOPTION,6
*CLARA,OTHER,PARAKEET,ADOPTION,11
MINDY,CAT,DOMESTIC SH,TRANSFER,48
SMOKEY,CAT,DOMESTIC SH,ADOPTION,16
DAKOTA,DOG,DACHSHUND,ADOPTION,26
BLUE,DOG,BEAGLE/MIX,RETURN TO OWNER,2
*BROCK,CAT,DOMESTIC SH,ADOPTION,8
SAVANNA,CAT,SIAMESE,ADOPTION,11
DRAKE,DOG,PIT BULL,RETURN TO OWNER,1
,CAT,DOMESTIC SH,TRANSFER,5
RICKY,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,0
*CASANOVA,CAT,DOMESTIC SH,ADOPTION,59
FAITH,DOG,PIT BULL/MIX,RETURN TO OWNER,0
BOBI,CAT,SIAMESE/MIX,ADOPTION,9
MAU MAU,CAT,DOMESTIC SH,EUTHANIZE,1
*CHEVY,CAT,DOMESTIC SH,ADOPTION,9
DUSTY,CAT,DOMESTIC LH,EUTHANIZE,13
*BLANCA GARZA,DOG,CHIHUAHUA SH,ADOPTION,12
,CAT,DOMESTIC SH,TRANSFER,0
MAXI,DOG,YORKSHIRE TERR/MIX,ADOPTION,12
,OTHER,CHICKEN,EUTHANIZE,1
*ANNABELLE,CAT,DOMESTIC SH,ADOPTION,13
,CAT,DOMESTIC SH,EUTHANIZE,15
*HECTOR,OTHER,GUINEA PIG,ADOPTION,24
*FRAN,CAT,DOMESTIC SH,TRANSFER,24
BRONCO,CAT,DOMESTIC SH,TRANSFER,6
MEEPERS,CAT,DOMESTIC LH,EUTHANIZE,19
REN,CAT,SIAMESE,ADOPTION,18
*LACEY,DOG,CHIHUAHUA SH,ADOPTION,20
